Equipo,Plan,Plan_Tarifario,PRECIO_CONTADO_EQUIPO,PRECIO_ONLINE_EQUIPO,CANTIDAD_CUOTA,CUOTA_INICIAL,PRECIO_CUOTA
Motorola Edge 30 Fusion + Audífonos,CONTADO,99.9,,,,1639,
Motorola Edge 30 Fusion + Audífonos,CUOTA,99.9,,,12,1519,84
Motorola Edge 30 Fusion + Audífonos,CUOTA,99.9,,,18,509,84
Motorola Edge 30 Fusion + Audífonos,CONTADO,159.9,,,,1639,
Motorola Edge 30 Fusion + Audífonos,CUOTA,159.9,,,12,1449,95
Motorola Edge 30 Fusion + Audífonos,CUOTA,159.9,,,18,309,95
Motorola Edge 30 Neo,CONTADO,41.9,2281,1329,dto.,42%,
Motorola Edge 30 Neo,CONTADO,55.9,2281,1329,dto.,42%,
Motorola Edge 30 Neo,CUOTA,55.9,,,12,0,171
Motorola Edge 30 Neo,CUOTA,55.9,,,18,519,85
Motorola Edge 30 Neo,CONTADO,65.9,2281,1329,dto.,42%,
Motorola Edge 30 Neo,CUOTA,65.9,,,12,0,171
Motorola Edge 30 Neo,CONTADO,99.9,2281,1329,dto.,42%,
Motorola Edge 30 Neo,CUOTA,99.9,,,12,0,171
Motorola Edge 30 Neo,CUOTA,99.9,,,18,269,85
Motorola Edge 30 Neo,CONTADO,159.9,2281,1329,dto.,42%,
Motorola Edge 30 Neo,CUOTA,159.9,,,12,0,171
Motorola Edge 30 Neo,CUOTA,159.9,,,18,179,84
Motorola Edge 30 Neo + Audífonos,CONTADO,41.9,,,,1449,
Motorola Edge 30 Neo + Audífonos,CONTADO,55.9,,,,1449,
Motorola Edge 30 Neo + Audífonos,CUOTA,55.9,,,12,1539,85
Motorola Edge 30 Neo + Audífonos,CUOTA,55.9,,,18,519,85
Motorola Edge 30 Neo + Audífonos,CONTADO,65.9,,,,1449,
Motorola Edge 30 Neo + Audífonos,CONTADO,99.9,,,,1449,
Motorola Edge 30 Neo + Audífonos,CUOTA,99.9,,,12,1289,85
Motorola Edge 30 Neo + Audífonos,CUOTA,99.9,,,18,269,85
Motorola Edge 30 Neo + Audífonos,CONTADO,159.9,,,,1449,
Motorola Edge 30 Neo + Audífonos,CUOTA,159.9,,,12,1189,84
Motorola Edge 30 Neo + Audífonos,CUOTA,159.9,,,18,179,84
Samsung Galaxy A04e,CONTADO,41.9,,,,409,
Samsung Galaxy A04e,CONTADO,55.9,,,,409,
Samsung Galaxy A04e,CUOTA,55.9,,,12,0,55
Samsung Galaxy A04e,CUOTA,55.9,,,18,69,27
Samsung Galaxy A04e,CONTADO,65.9,,,,409,
Samsung Galaxy A04e,CUOTA,65.9,,,12,0,55
Samsung Galaxy A04e,CONTADO,99.9,,,,409,
Samsung Galaxy A04e,CUOTA,99.9,,,12,0,55
